Params: ([250, 200, 200], [50, 1], 32, 10, 0.001), MSE: 0.0004560400816771449
Params: ([250, 200, 200], [50, 1], 32, 10, 0.01), MSE: 0.00045592351760298815
Params: ([250, 200, 200], [50, 1], 32, 20, 0.001), MSE: 0.0004556790795995943
Params: ([250, 200, 200], [50, 1], 32, 20, 0.01), MSE: 0.0004562242801518181
Params: ([250, 200, 200], [50, 1], 64, 10, 0.001), MSE: 0.00043465757660872856
Params: ([250, 200, 200], [50, 1], 64, 10, 0.01), MSE: 0.00045995767488162827
Params: ([250, 200, 200], [50, 1], 64, 20, 0.001), MSE: 0.00045571638943196134
Params: ([250, 200, 200], [50, 1], 64, 20, 0.01), MSE: 0.00045647048856358135
Params: ([250, 200, 200], [100, 1], 32, 10, 0.001), MSE: 0.0004554032582646721
Params: ([250, 200, 200], [100, 1], 32, 10, 0.01), MSE: 0.0004559382600851215
Params: ([250, 200, 200], [100, 1], 32, 20, 0.001), MSE: 0.0004557793328339331
Params: ([250, 200, 200], [100, 1], 32, 20, 0.01), MSE: 0.0004574772787517528
#+quality
Params: ([250, 200, 200], [50, 1], 32, 10, 0.001), MSE: 0.00047133233319911276
Params: ([250, 200, 200], [100, 1], 32, 10, 0.001), MSE: 0.00047518583022002433
Params: ([300, 250, 250], [50, 1], 32, 10, 0.001), MSE: 0.0004738667026148652
Params: ([300, 250, 250], [100, 1], 32, 10, 0.001), MSE: 0.00047553816703741137
#+quantity
Params: ([250, 200, 200], [50, 1], 32, 10, 0.001), MSE: 0.00045555649381584284
Params: ([250, 200, 200], [100, 1], 32, 10, 0.001), MSE: 0.00045572404971392223
Params: ([300, 250, 250], [50, 1], 32, 10, 0.001), MSE: 0.0004556927058442221
Params: ([300, 250, 250], [100, 1], 32, 10, 0.001), MSE: 0.00045482923385644866
#just stock
Params: ([250, 200, 200], [50, 1], 32, 10, 0.001), MSE: 0.0004556302685725673
Params: ([250, 200, 200], [100, 1], 32, 10, 0.001), MSE: 0.00045592309674399704
Params: ([300, 250, 250], [50, 1], 32, 10, 0.001), MSE: 0.000455805816075564
Params: ([300, 250, 250], [100, 1], 32, 10, 0.001), MSE: 0.0004556772114877013
